question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: Let $x$ be the number of Gadget A sold, and $y$ be the number of Gadget B sold. We can set up a system of equations based on the given information:
\begin{align*}
x + y &= 50 \\
5x + 10y &= 350
\end{align*}
To solve for $x$ and $y$, we can use the elimination method. Multiplying the first equation by 5, we get $5x + 5y = 250$. Subtracting this from the second equation, we get $5y = 100$, so $y = 20$. Substituting",Systems of Equations,Hard,0.08064516129032259,2.3869345818016682e-155
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer: Let the number of boys be 3x and the number of girls be 5x. Then, we have the equation 3x + 5x = 64. Simplifying this equation, we get 8x = 64, which gives us x = 8. Therefore, the number of boys is 3x = 24 and the number of girls is 5x = 40. The answer is 24 boys and 40 girls.",Ratio and Proportion Problems,Hard,0.10309278350515463,0.024507934283695458
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: Let the total work be 12 units (LCM of 4 and 6).
Machine A can complete 3 units of work in 1 hour (12 units/4 hours).
Machine B can complete 2 units of work in 1 hour (12 units/6 hours).
Together, they can complete 5 units of work in 1 hour (3 units + 2 units).
After working together for 2 hours, they complete 10 units of work (5 units/hour * 2 hours).
So, 2 units of work are left (12 units - 10 units).
Machine B can complete 2 units of work in 1 hour, so",Work Problems (Complex),Hard,0.027397260273972605,0.0
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: Let the cost price of the item be x.
The shopkeeper sells the item for $240, making a 20% profit. This means that the selling price is 120% of the cost price.
So, 120% of x = $240
Or, 1.2x = $240
Or, x = $200
Therefore, the cost price of the item was $200.
The answer is $200.",Profit and Loss,Hard,0.024096385542168676,6.017810420952586e-232
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: To find the number of friends Lisa gives apples to, we need to divide the total number of apples she has by the number of apples she gives to each friend. 

Total number of apples Lisa has = 12
Number of apples Lisa gives to each friend = 3

Number of friends Lisa gives apples to = Total number of apples Lisa has ÷ Number of apples Lisa gives to each friend
Number of friends Lisa gives apples to = 12 ÷ 3
Number of friends Lisa gives apples to = 4

Therefore, Lisa gives apples to 4 friends.
The answer is 4.",Simple Equations,Easy,0.032,6.4162308992004585e-232
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: To find the cost of 6 pens, we can multiply the cost of 1 pen by 6. 
Cost of 1 pen = $3
Cost of 6 pens = 6 x $3 = $18
Therefore, the cost of 6 pens is $18. The answer is $18.",Basic Arithmetic,Easy,0.03333333333333333,6.492476721861418e-232
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: To solve the problem, we can use the knowledge point of addition and subtraction. Since Sam is 7 years older than Tom, we can add 7 to Tom's age to find Sam's age. 

Tom's age = 8 years
Sam's age = Tom's age + 7 years

Substituting Tom's age, we get:
Sam's age = 8 years + 7 years
Sam's age = 15 years

Therefore, Sam is 15 years old.",Age Problems (Basic),Easy,0.061224489795918366,2.0411965960034616e-155
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: To find the distance traveled, we can multiply the speed (45 miles per hour) by the time (3 hours).
Distance = Speed x Time
Distance = 45 miles/hour x 3 hours
Distance = 135 miles

The answer is 135 miles.",Distance-Rate-Time,Easy,0.06451612903225806,2.2620350682534568e-155
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer: Let x be the number of books Jane has. Then, Sara has x + 10 books. According to the problem, their combined total is 50 books. So, we can write the equation:
x + (x + 10) = 50

Combining the terms, we get:
2x + 10 = 50

Subtracting 10 from both sides, we get:
2x = 40

Dividing both sides by 2, we get:
x = 20

So, Jane has 20 books, and Sara has 20 + 10 = 30 books.

The",Equations with Two Variables,Medium,0.12844036697247707,8.86851690894358e-79
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer: To find the amount of salt in the mixture, we need to calculate 40% of 10 liters.

Step 1: Convert the percentage to a decimal by dividing it by 100.
40% = 40/100 = 0.4

Step 2: Multiply the decimal by the total volume of the mixture.
0.4 * 10 = 4

The answer is 4 liters. Therefore, there are 4 liters of salt in the mixture.",Mixture Problems,Medium,0.0851063829787234,0.024732252134341038
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer: To find the time it takes for John and Mary to paint the room together, we can use the formula:

1 / (John's rate) + 1 / (Mary's rate) = 1 / (Combined rate)

John's rate is 1 room per 5 hours, so his rate is 1/5 rooms per hour.
Mary's rate is 1 room per 10 hours, so her rate is 1/10 rooms per hour.

Substituting these values into the formula, we get:

1 / (1/5) + 1 / (1/10) = 1 / (Combined rate",Work Problems,Medium,0.016666666666666666,0.0
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer: Let's assume Sarah's current age is represented by the variable ""x"".
According to the problem, in 4 years, Sarah will be three times as old as she was 2 years ago.
In 4 years, Sarah's age will be x + 4.
Two years ago, Sarah's age was x - 2.
According to the problem, x + 4 = 3(x - 2).
Expanding the equation, we get x + 4 = 3x - 6.
Subtracting x from both sides, we get 4 = 2x - 6.
Adding 6 to both sides, we get",Age Problems (Complex),Medium,0.03418803418803419,7.259419553339045e-232
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: Using the formula for compound interest, we have:

$A=P(1+r/n)^{nt}$

where A is the final amount, P is the principal amount, r is the annual interest rate, n is the number of times the interest is compounded per year, and t is the time in years.

Plugging in the given values, we get:

$A=2000(1+0.03/1)^{1*5}$

Simplifying, we get:

$A=2000(1.03)^5$

$A=2000(1.159274)$",Investment Problems,Medium,0.019230769230769232,0.0
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer: Let the length and width of the rectangular field be $l$ and $w$, respectively. We know that the perimeter of the field is 40 meters, so we can write:
$$2l + 2w = 40$$
Simplifying the equation, we get:
$$l + w = 20$$
We also know that the area of the field is 96 square meters, so we can write:
$$lw = 96$$
We can solve for one of the variables in terms of the other by rearranging the second equation:
$$l = \frac{96}{w}$$
Substituting this expression for $l$",Quadratic Equations,Hard,0.03333333333333333,5.5159660337435624e-232
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer: Let's assume that x represents the number of Product A sold, and y represents the number of Product B sold. We can create two equations based on the information given: 

x + y = 100 (since the total number of products sold is 100)
15x + 25y = 2000 (since the total revenue from selling these products is $2,000)

We can simplify the first equation by isolating x: 

x = 100 - y 

Now we can substitute this expression for x in the second equation: 

15(100 - y) + 25y",Systems of Equations,Hard,0.07575757575757576,2.340034690180601e-155
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer: Let's use x to represent the number of dogs in the shelter. Then the number of cats would be 3x/2, since the ratio of dogs to cats is 2:3. The total number of animals is 75, so we can write an equation:
x + 3x/2 = 75
Multiplying both sides by 2 to eliminate the fraction, we get:
2x + 3x = 150
5x = 150
x = 30
So there are 30 dogs in the shelter and 45 cats (since 3x/2 = 3(30)/2 = 45).",Ratio and Proportion Problems,Hard,0.08064516129032258,7.214228588423806e-79
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer: Let's first find the rate of work for each machine. Machine C can complete 1/8 of the task in 1 hour, while Machine D can complete 1/12 of the task in 1 hour. Working together, their combined rate of work is 1/8 + 1/12 = 5/24 of the task per hour.

If they work together for 3 hours, they will complete 3*(5/24) = 5/8 of the task. This means that 3/8 of the task is left to be completed.

Let's use x to represent the number of hours Machine C will take to complete the remaining 3/8",Work Problems (Complex),Hard,0.01282051282051282,5.259175947622844e-232
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer: Let x be the cost price of the TV.
The store sells the TV for $600, making a 25% profit, so the selling price is 1.25 times the cost price:
1.25x = 600
x = 600 / 1.25
x = 480
The cost price of the TV was $480.",Profit and Loss,Hard,0.027027027027027025,0.0
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer: To find the total number of oranges Jessica will have after 3 days, we need to calculate the number of oranges she buys each day and add it to the initial number of oranges.

On the first day, Jessica buys 5 oranges, so she will have 8 + 5 = 13 oranges.
On the second day, she buys another 5 oranges, so she will have 13 + 5 = 18 oranges.
On the third day, she buys another 5 oranges, so she will have 18 + 5 = 23 oranges.

Therefore, Jessica will have 23 oranges after",Simple Equations,Easy,0.03389830508474576,1.60932372714733e-155
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: To find the cost of 8 pencils, we need to multiply the cost of one pencil by 8. 
$1.50 x 8 = $12. 
Therefore, 8 pencils will cost $12.",Basic Arithmetic,Easy,0.042553191489361694,0.0
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: Let's assume Adam's age is A and Ben's age is B.
According to the problem, Adam is twice as old as Ben, so we can write the equation A = 2B.
Given that Ben is 10 years old, we can substitute B = 10 into the equation: A = 2(10) = 20.
Therefore, Adam is 20 years old.
The answer is Adam is 20 years old.",Age Problems (Basic),Easy,0.06521739130434782,2.0868169697040566e-155
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: To solve this problem, we need to use the formula Distance = Speed x Time. We are given that the truck travels at 60 miles per hour and we want to find out how far it will travel in 5 hours. Therefore, we can substitute the values into the formula as follows:
Distance = 60 miles/hour x 5 hours
Distance = 300 miles
Therefore, the answer is 300 miles.",Distance-Rate-Time,Easy,0.04395604395604395,1.864699005416488e-155
33,John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?,John has 80 marbles and Anna has 40 marbles,"Let Anna's marbles = x
John's marbles = 2x
x + 2x = 120
3x = 120
x = 40
John = 80, Anna = 40","Solve the following math problem: John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?
Answer: Let x be the number of marbles Anna has.
Then John has 2x marbles.
The total number of marbles is x + 2x = 120.
Combining like terms, we get 3x = 120.
Dividing both sides by 3, we get x = 40.
Therefore, Anna has 40 marbles and John has 80 marbles.
The answer is Anna has 40 marbles and John has 80 marbles.",Equations with Two Variables,Medium,0.16326530612244897,0.040525350679051025
34,"A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?",3 liters of alcohol,Amount of alcohol = 25% of 12 liters = 0.25 * 12 = 3 liters,"Solve the following math problem: A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?
Answer: To solve this problem, we need to find the amount of alcohol in the solution. 

Step 1: Convert the percentage to a decimal. 25% is equivalent to 0.25.

Step 2: Multiply the decimal by the total volume of the solution. 0.25 * 12 = 3.

The answer is 3 liters.",Mixture Problems,Medium,0.07594936708860758,2.9065076252726207e-155
35,Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?,13.33 hours,"Rate of Worker A = 1/8 jobs/hour
Let Worker B's rate = 1/x jobs/hour
Total rate = 1/5 jobs/hour
1/8 + 1/x = 1/5
Solve for x = 13.33 hours","Solve the following math problem: Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?
Answer: Let's assume that Worker B takes x hours to complete the task alone. We can set up the following equation based on the work rates:

1/8 + 1/x = 1/5

To solve for x, we can multiply both sides of the equation by 40x to eliminate the denominators:

5x + 40 = 8x

Rearranging the equation, we have:

8x - 5x = 40

3x = 40

Dividing both sides of the equation by 3, we get:

x = 40/3

Therefore, Worker B",Work Problems,Medium,0.01680672268907563,5.5159660337435624e-232
36,"In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?",8 years old,"Let Mike's current age = x
In 6 years, Mike's age = x + 6
2 years ago, Mike's age = x - 2
x + 6 = 2(x - 2)
x + 6 = 2x - 4
x = 8","Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Let's assume Mike's current age is x years.
According to the given information, in 6 years, Mike will be x + 6 years old.
And, 2 years ago, Mike was x - 2 years old.
According to the problem, in 6 years, Mike will be twice as old as he was 2 years ago. So, we can write the equation:
x + 6 = 2(x - 2)
Simplifying the equation:
x + 6 = 2x - 4
Bringing like terms to one side:
x - 2x = -4 - 6
-1x = -10",Age Problems (Complex),Medium,0.035398230088495575,6.559626053441466e-232
37,"Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?","$1,622.40","A = P(1 + r/n)^(nt)
A = 1500(1 + 0.04/1)^(1*2)
A = 1500(1.04)^2 = 1500 * 1.0816 = $1,622.40","Solve the following math problem: Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?
Answer: To solve this problem, we use the formula for compound interest:

A = P(1 + r/n)^(nt)

where A is the amount of money after t years, P is the principal (initial investment), r is the annual interest rate (as a decimal), n is the number of times the interest is compounded per year, and t is the number of years.

In this case, P = $1,500, r = 0.04, n = 1 (since the interest is compounded annually), and t = 2. Plugging these values into the formula, we get:

A = $1,500(1 +",Investment Problems,Medium,0.016666666666666666,0.0
38,"A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?",10 meters by 15 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 50
Area = l * w = 150
Solve system of equations: l + w = 25, lw = 150","Solve the following math problem: A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?
Answer: Let the length of the room be $l$ meters and the width be $w$ meters. We have two equations:
1. Perimeter equation: $2l + 2w = 50$
2. Area equation: $lw = 150$

First, we can simplify the perimeter equation by dividing by 2:
$l + w = 25$

Now, we can solve for one variable in terms of the other. Let's solve for $l$:
$l = 25 - w$

Next, substitute this expression for $l$ into the area equation:
$(25 - w)w = 15",Quadratic Equations,Hard,0.053571428571428575,7.337741777064293e-232
39,"A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?",35 Chair A and 25 Chair B,"Let number of Chair A = x, number of Chair B = y
x + y = 60
30x + 50y = 2100
Solve system of equations","Solve the following math problem: A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
Answer: Let's assume that the number of Chair A sold is x, and the number of Chair B sold is y.
From the problem, we know that:
x + y = 60 (Equation 1) - since the total number of chairs sold is 60
30x + 50y = 2100 (Equation 2) - since the total revenue from selling x Chair A and y Chair B is $2,100
We can solve for x in Equation 1:
x = 60 - y
Substitute this value of x into Equation 2:
30(60 - y) + 50y =",Systems of Equations,Hard,0.07575757575757576,6.207429242837551e-79
40,"The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?",40 boys and 50 girls,"Let boys = 4x and girls = 5x
Total students = 4x + 5x = 90
9x = 90
x = 10
Boys = 4 * 10 = 40, Girls = 5 * 10 = 50","Solve the following math problem: The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?
Answer: To solve this problem, we can set up a proportion using the given ratio. Let's let x represent the number of boys in the class.

The ratio of boys to girls is 4:5, so the ratio of boys to the total number of students is 4:(4+5) = 4:9. 

We can set up the proportion:
4/9 = x/90

To solve for x, we can cross multiply:
4 * 90 = 9 * x
360 = 9x

Dividing both sides by 9, we find:
x = 40

So, there are 40",Ratio and Proportion Problems,Hard,0.046875,1.9138192266662762e-155
