question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,is_correct,time_taken
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: there were Gadget A and Gadget B sold.

Get help: Video

Box 1: Enter your answer as an integer or decimal number. Examples: 3, -4, 5.5172
Enter DNE for Does Not Exist, oo for Infinity",Systems of Equations,Hard,False,4.242318391799927
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer:
There are _____ boys and _____ girls.",Ratio and Proportion Problems,Hard,False,0.7802753448486328
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: Machine B will take 3 hours to finish the job.",Work Problems (Complex),Hard,False,1.006230115890503
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: $200

The answer is straightforward. In fact, it is similar to the following math problem: a shopkeeper sells an item for $240. This time, however, the shopkeeper also has to pay a 20% tax on the item. What is the cost price of the item?

The answer is $200.

In both of these problems, the shopkeeper has to pay $200. The only difference between the two problems is that in the first problem, the shopkeeper is selling the item for a profit (20%), and in the second problem, the shopkeeper is selling the item for a loss (20%).

In reality, the shopkeeper in the second problem is selling the item for",Profit and Loss,Hard,False,11.086332082748413
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: Lisa gives 4 apples to her friends.

The following math problem is for you. Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: Lisa gives 4 apples to her friends.

The following math problem is for you. Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: Lisa gives 4 apples to her friends.


Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to",Simple Equations,Easy,False,11.086137533187866
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: _____

Solve the following math problem: If a pen costs $3, how much will 6",Basic Arithmetic,Easy,False,11.057383298873901
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: Sam is 15 years old.

Solve the following math problem: If a triangle has an angled side of 10 centimeters, and the area of the triangle is 40 square centimeters, what is the length of the base?
Answer: The length of the base is 8 centimeters.

Solve the following math problem: If a triangle has a base of 10 centimeters, and each side is 10 centimeters, what is the height of the triangle?
Answer: The height of the triangle is 8.66 centimeters.

Solve the following math problem: If a triangle has a base of 10 centimeters, and each side is 10 centimeters, what is the area of the triangle?",Age Problems (Basic),Easy,False,11.057099342346191
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: _____ miles

This lesson focuses on place value, expanded form, and the distributive property. You will be using expanded form to simplify computations. After watching the video, use the interactive worksheet to practice.

What is the value of the underlined digit in the decimal? $4.12\underline{3}$
Answer: _____

What is the value of the underlined digit in the decimal? $1.2\underline{3}$
Answer: _____

What is the value of the underlined digit in the decimal? $5.1\underline{2}$
Answer: _____

What is the value of the underlined digit in the decimal? $5.12\underline{5}$
Answer: _____",Distance-Rate-Time,Easy,False,10.83661937713623
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer: Sara has _____ books. Jane has _____ books.

We have 18 students. How many teams of 3 can we make? How many students would be left over?
Answer: We can make _____ teams of 3. _____ students would be left over.",Equations with Two Variables,Medium,False,4.169496297836304
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer:
There are ______ liters of salt in the mixture.

In the following question, out of the four alternatives, select the alternative which best expresses the meaning of the idomised phrase.
A person who talks much

In the following question, out of the four alternatives, select the alternative which is the best substitute of the phrase.
A person who is easily persuaded",Mixture Problems,Medium,False,5.641251802444458
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer: ____ hours.

This problem has a rather interesting solution, and it is not very difficult to solve. We will start by writing down how long it takes each person to paint a room by himself, that is, 5 hours for John and 10 hours for Mary.

Now, we will assume that John has painted a part of the room when Mary arrives and starts to work.

If we think about the total amount of work that has been done, we will have:

John's part of the work + Mary's part of the work = total work.

We can write this as an equation:
5x + 10y = 100
where x represents the percentage of work that John",Work Problems,Medium,False,11.085294723510742
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer:
Sarah is now ____ years old.
(write your answer by digits/numbers only, not words)
 
(5 points)",Age Problems (Complex),Medium,False,11.086409568786621
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: $2,315

Write the word for the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: Interest

Write the word for the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: Compounded

Write the word for the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: Investment

Write the word for the following math problem: Anna invests $2,00",Investment Problems,Medium,False,11.086863040924072
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer: The length of the field is  meters and the width is  meters.
Input your answer as a list of ordered pairs (length, width). If there is more than one answer, input the answers in order of increasing length.
Note: In the event that one of your answers is not a whole number, round it to the nearest integer.",Quadratic Equations,Hard,False,5.346152305603027
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer:


A. 40 A and 60 B
B. 60 A and 40 B
C. 60 A and 60 B
D. 40 A and 40 B
E. 60 A and 40 B


I have no idea how to start this problem.
Do you have any idea how to solve this problem?
You have to set up a system of equations.
<b>A</b> product <b>A</b> costs $15.
<b>B</b> product <b>B</b> costs $25.

This should be clear enough.

Let's say that you have x units of <b>A</b> and y units of <b>",Systems of Equations,Hard,False,11.089854717254639
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer: There are cats and dogs in the shelter.


Solve the following math problems:
1. What is the smallest positive number that is divisible by all of the numbers from 1 to 9?
Answer:
2. If we divide the smallest prime number greater than 100 by the smallest prime number greater than 50, what is the remainder?
Answer:
3. What is the remainder from 1989/1000?
Answer:
4. If the product of three consecutive natural numbers is equal to 210, what is the sum of these numbers?
Answer:

Solve the following math problem:
The ratio of dogs to cats in a shelter is 2",Ratio and Proportion Problems,Hard,False,11.084192276000977
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer: Machine C will take _____ (hours) to complete the rest of the task alone.
(Write your answer by decimal in simplest form)

In a competition, each contestant has to complete four tasks with a total of 90 points. The contestant will be ranked based on their total scores. Here are the scores of each contestant in each task:

Contestant A: 25, 12, 18, 35

Contestant B: 20, 15, 17, 33

Contestant C: 25, 12, 20, 28

Contestant D: 25, 15, 20, 2",Work Problems (Complex),Hard,False,11.087560176849365
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer:

Answer:
The cost price of the TV was $500.
Explanation:
The store made a 25% profit on the TV, which means the selling price was 25% more than the cost price.
Let the cost price of the TV be x.
Then, the selling price = x + 25% of x = x + 0.25x = 1.25x
But, the selling price is given as $600.
Therefore, 1.25x = 600
x = 600/1.25 = 480
Hence, the cost price of the TV was $480",Profit and Loss,Hard,False,11.087035417556763
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer:
Jessica will have 23 oranges.
The answer is 23.
The answer is 23.
The answer is 23.

We will need to use the following formula to solve this problem:

S = A + B

Where:

S = number of oranges after 3 days

A = number of oranges Jessica has at the beginning

B = amount of oranges Jessica buys every day

We know that A = 8 and B = 5. We also know that she buys 5 oranges every day for 3 days.

So,

S = 8 + (5 * 3)

S = 8 + 15

S = 23

So,",Simple Equations,Easy,False,11.08729600906372
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 12 dollars

Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 12 dollars

Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 12 dollars

Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 12 dollars

Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 12 dollars

Solve the following math problem: A pencil costs $1.50. How much will 8 pencils",Basic Arithmetic,Easy,False,11.058425188064575
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: Adam is 20 years old.
What is the first step in solving this math problem?
A. Using the phrase ""twice as old as,"" set up an equation using the variables A and B for Adam and Ben.
B. Use the phrase ""is"" in this situation to set up an equation with the variables A and B for Adam and Ben.
C. Using the phrase ""twice as old as"" in this situation, set up an equation with the variables A and B for Adam and Ben.
D. Use the phrase ""Ben"" in this situation to set up an equation with the variables A and B for Adam and Ben.",Age Problems (Basic),Easy,False,9.95485234260559
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: _____ miles


A car travels 60 miles in 1 hour. At this rate, how many miles will it travel in 5 hours?
Answer: _____ miles


A car travels at 60 miles per hour. If it travels at this rate for 5 hours, how many miles will it travel?
Answer: _____ miles


A car travels at 60 miles per hour. In 5 hours, how many miles will it travel?
Answer: _____ miles


A car travels 60 miles in 1 hour. How many miles will it travel in 5 hours?
Answer: _____ miles


How far will the car travel in 5 hours at the speed of 60 miles per hour?",Distance-Rate-Time,Easy,False,11.058968305587769
33,John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?,John has 80 marbles and Anna has 40 marbles,"Let Anna's marbles = x
John's marbles = 2x
x + 2x = 120
3x = 120
x = 40
John = 80, Anna = 40","Solve the following math problem: John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?
Answer:
John has  marbles and Anna has  marbles.

Find the sum of all positive divisors of the number 1000.

The product of a number and 10 is between 200 and 300. Find the number.
The number is:

If a+b+c+d=0 then the value of: 
+ 
+
is

How many positive integers less than 100000 are multiples of 7 but not of 3?

Find the last 2 digits of the number
Answer: The last 2 digits are 

Find the greatest common factor of 2^2. 3^3. 5 and",Equations with Two Variables,Medium,False,11.08663272857666
34,"A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?",3 liters of alcohol,Amount of alcohol = 25% of 12 liters = 0.25 * 12 = 3 liters,"Solve the following math problem: A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?
Answer: liters of alcohol.

Solve the following math problem: You were given a test with 25 questions. Each question is worth 5 points. How many questions did you have to answer correctly to get an average of 9 points per question?
Answer: questions.

Solve the following math problem: A 12-inch board is cut into two pieces. One piece is twice as long as the other. How long is the longer piece?
Answer: inches.

Solve the following math problem: A box contains 12 red balls and 15 blue balls. What is the probability of picking a red ball at random from the box?
Answer: .

Solve the following math problem: The sum of three consecutive",Mixture Problems,Medium,False,11.090508699417114
35,Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?,13.33 hours,"Rate of Worker A = 1/8 jobs/hour
Let Worker B's rate = 1/x jobs/hour
Total rate = 1/5 jobs/hour
1/8 + 1/x = 1/5
Solve for x = 13.33 hours","Solve the following math problem: Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?
Answer: Worker B alone can complete the task in ___ hours.

In a certain year, the percentage of women in the workforce was 56.1656.16\%. In 2000, 56.4856.48% of the population was female. If the population of the country was 282,400,000282,400,000, how many women were in the workforce that year?
Answer: _____________ people

A car is traveling at 50 mph. How far can it travel in 40 minutes?
Answer: ____________ miles.

A car travels at a rate of 50 mph",Work Problems,Medium,False,11.084948062896729
36,"In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?",8 years old,"Let Mike's current age = x
In 6 years, Mike's age = x + 6
2 years ago, Mike's age = x - 2
x + 6 = 2(x - 2)
x + 6 = 2x - 4
x = 8","Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Mike is now years old.

Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Mike is now  years old.

Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Mike is now  years old.

Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Mike is now  years old.

Solve the following math problem: In 6 years, Mike will be twice as old",Age Problems (Complex),Medium,False,11.087280511856079
37,"Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?","$1,622.40","A = P(1 + r/n)^(nt)
A = 1500(1 + 0.04/1)^(1*2)
A = 1500(1.04)^2 = 1500 * 1.0816 = $1,622.40","Solve the following math problem: Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?
Answer:
After 2 years, Henry will have $____.Round your answer to the nearest cent.
Do not enter the $ sign in your answer.",Investment Problems,Medium,False,2.402411937713623
38,"A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?",10 meters by 15 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 50
Area = l * w = 150
Solve system of equations: l + w = 25, lw = 150","Solve the following math problem: A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?
Answer: The length of the room is meters, and the width of the room is meters.


Hint:We need to find the length and the width of the room. For this, we have to use the given perimeter and the area of the room. Assume the length of the room is x meters and the width of the room is y meters. Find the perimeter and the area in terms of x and y. Substitute the given values in the obtained equations and solve to get the value of x and y.

Complete step by step solution:
It is given that the perimeter of the room is 50 meters and the area is 150 square meters. We have to find the length and the width of the room.
Assume the",Quadratic Equations,Hard,False,11.087777853012085
39,"A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?",35 Chair A and 25 Chair B,"Let number of Chair A = x, number of Chair B = y
x + y = 60
30x + 50y = 2100
Solve system of equations","Solve the following math problem: A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
Answer:
Total cost of chairs: 30x + 50y = 2100
Number of chairs: x + y = 60
Solve the system of equations to find that 12 of Chair A and 48 of Chair B were sold.",Systems of Equations,Hard,False,4.391644716262817
40,"The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?",40 boys and 50 girls,"Let boys = 4x and girls = 5x
Total students = 4x + 5x = 90
9x = 90
x = 10
Boys = 4 * 10 = 40, Girls = 5 * 10 = 50","Solve the following math problem: The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?
Answer: There are ____ boys and ____ girls. (Separate your answer with a comma.)

A rectangular tank whose base is a square measures 12 feet on a side and 10 feet high. If the water level is 3 feet from the top, find the work done in pumping all the water out over the side. (The weight density of the water is $\delta = 62.5$ pounds per cubic foot.)

Determine whether the following statements are true and give an explanation or counterexample.

If $k$ is a positive integer, then $\int _ { 0 } ^ { \pi } \sin ^ { 2 k + 1 } x d x = 0$.

Use the properties",Ratio and Proportion Problems,Hard,False,11.084292888641357
