question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: Let x be the number of Gadget A sold, and y be the number of Gadget B sold. We have the following two equations based on the given information:
x + y = 50 (since 50 gadgets were sold in total)
5x + 10y = 350 (since Gadget A costs $5 and Gadget B costs $10)

We can solve this system of equations using substitution or elimination. Here, we'll use substitution. First, let's solve the first equation for x:
x = 50 - y

Now, substitute this expression for x into the second equation:
5(50 -",Systems of Equations,Hard,6
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer: \boxed{16} boys and \boxed{48} girls.

Solution: Let's denote the number of boys as B and the number of girls as G.

We know that the ratio of boys to girls is 3:5, so we can write this as:

B/G = 3/5

We also know that there are 64 students in total, so:

B + G = 64

Now, let's solve this system of equations. We can start by expressing B in terms of G from the second equation:

B = 64 - G

Then substitute this expression into the first equation:",Ratio and Proportion Problems,Hard,5
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: Machine B needs 4 hours to finish the job.

Solution Explanation: Machine A can complete the job in 4 hours, so in 1 hour, it can complete $\frac{1}{4}$ of the job. Machine B can complete the job in 6 hours, so in 1 hour, it can complete $\frac{1}{6}$ of the job. Working together for 2 hours, they can complete $\frac{1}{4} \times 2 + \frac{1}{6} \times 2 = \frac{1}{2}$ of the job. Therefore, Machine B needs 4 hours to finish the job.

Answer: $\boxed{4 \",Work Problems (Complex),Hard,2
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: \boxed{200}

\noindent Solution:

Let the cost price of the item be $x$. The shopkeeper makes a 20% profit on this cost price, which means the selling price is 120% of the cost price. We can write this relationship as an equation:

Selling price = Cost price * (1 + Profit percentage)

In this case, the selling price is $240, and the profit percentage is 20%, or 0.20 in decimal form:

240 = x * (1 + 0.20)

To solve for x, first divide both sides by (1 +",Profit and Loss,Hard,1
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer:
Lisa has 12 apples and she gives 3 apples to each friend. To find out how many friends she gives apples to, we divide the total number of apples by the number of apples given to each friend.
Number of friends = Total apples / Apples per friend
= 12 apples / 3 apples
= 4 friends

So, Lisa gives apples to 4 friends.",Simple Equations,Easy,4
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: 6 pens will cost $18.",Basic Arithmetic,Easy,5
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: Sam is 15 years old.
Explanation: Since Sam is 7 years older than Tom, if Tom is 8 years old, then Sam's age is 8 + 7 = 15.",Age Problems (Basic),Easy,10
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: The car will travel 135 miles.

Here's how we can solve it step by step:

1. First, we need to understand the formula for distance, which is: Distance = Speed * Time.
2. In this case, the speed of the car is given as 45 miles per hour, and the time is 3 hours.
3. So, we can substitute these values into the formula: Distance = 45 miles * 3 hours.
4. This gives us a distance of 135 miles.

So, the car will travel 135 miles in 3 hours.",Distance-Rate-Time,Easy,3
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer: \boxed{Jane: 20, Sara: 30}

Jane has 20 books and Sara has 30 books.

(Alternatively, Jane could have 30 books and Sara could have 20 books, but the question implies that Sara has more books than Jane.)",Equations with Two Variables,Medium,19
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer: There are 4 liters of salt in the mixture.

Now, let's break down the given solution into a more detailed, step-by-step format:

1. We are given that the mixture contains 40% salt. This means that for every 100 parts of the mixture, 40 parts are salt.
2. We are also given that there are 10 liters of the mixture.
3. To find out how much salt is in the mixture, we need to calculate 40% of 10 liters.
4. To calculate 40% of a number, we multiply the number by 40/100.",Mixture Problems,Medium,5
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer:
There are a total of 15 painter-hours available: 5 hours from John and 10 hours from Mary.

1. Let's first determine the rate at which John paints:
   John paints 1 room in 5 hours, so his rate is $\frac{1}{5}$ room per hour.

2. Now, let's determine the rate at which Mary paints:
   Mary paints 1 room in 10 hours, so her rate is $\frac{1}{10}$ room per hour.

3. Combine their rates to find the rate at which they paint together:
   $(\frac{1}{5} + \",Work Problems,Medium,2
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer: \boxed{10} years old.

Sarah's age in 4 years = Sarah's age 2 years ago + 6
Sarah's age 2 years ago = Sarah's age now - 2
Sarah's age in 4 years = Sarah's age now + 4

So, Sarah's age in 4 years = Sarah's age now + 4 = Sarah's age 2 years ago + 6
Sarah's age now + 4 = Sarah's age now - 2 + 6
Sarah's age now = 10 years old.",Age Problems (Complex),Medium,4
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: \boxed{2,378.03}

After 5 years, Anna's investment will grow to approximately $2,378.03.

Here's the reasoning:
1. The formula for calculating the future value of an investment with compound interest is:
   A = P(1 + r/n)^(nt)
   where:
   - A is the future value of the investment
   - P is the principal amount (initial investment)
   - r is the annual interest rate (as a decimal)
   - n is the number of times interest is compounded per year
   - t is the number of years

2. In",Investment Problems,Medium,2
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer: The field is 12 meters long and 8 meters wide.",Quadratic Equations,Hard,16
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer: The factory sold 40 Product A and 60 Product B.

This is the solution to the math problem:

Let's denote the number of Product A sold as 'a' and the number of Product B sold as 'b'. We know that the total revenue from selling both products is $2,000, and the total number of products sold is 100. This gives us two equations:

1) 15a + 25b = 2000 (total revenue)
2) a + b = 100 (total products)

We can solve these equations simultaneously to find the values of 'a' and 'b'.",Systems of Equations,Hard,8
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer:
There are 30 dogs and 45 cats in the shelter.

Solution:
Let the number of dogs be $2x$ and the number of cats be $3x$. According to the problem, we have $2x + 3x = 75$. Solving for $x$, we get $x = 15$. Therefore, there are $2 \times 15 = \boxed{30}$ dogs and $3 \times 15 = \boxed{45}$ cats in the shelter.",Ratio and Proportion Problems,Hard,8
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer:
First, we need to find out how much of the task each machine can complete in 3 hours.

Machine C can complete 1/8 of the task in 1 hour, so it can complete 3*(1/8) = 3/8 of the task in 3 hours.

Machine D can complete 1/12 of the task in 1 hour, so it can complete 3*(1/12) = 1/4 of the task in 3 hours.

Together, they can complete 3/8 + 1/4 = 7/8 of the task in 3 hours.

This means that there is 1 - 7",Work Problems (Complex),Hard,2
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer:
The cost price of the TV was $480.

Solution:
Let the cost price of the TV be $C.

According to the problem, the store sells the TV for $600, making a 25% profit. This means that the selling price is 125% of the cost price.

So, we have the equation: $600 = 1.25C$.

To find the cost price, we need to solve for $C$.

Dividing both sides of the equation by 1.25, we get:

$C = \frac{600}{1.25} =",Profit and Loss,Hard,2
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer: After 3 days, Jessica will have 23 oranges.

Step-by-Step Solution:

1. Jessica has 8 oranges initially.

2. She buys 5 more oranges every day.

3. In 3 days, she will buy 5 oranges x 3 days = 15 oranges.

4. Adding these to her initial 8 oranges, she will have 8 oranges + 15 oranges = 23 oranges.

Therefore, after 3 days, Jessica will have $\boxed{23}$ oranges.",Simple Equations,Easy,4
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: 8 pencils will cost $12.00.",Basic Arithmetic,Easy,5
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer:
Adam is 20 years old.

Here's the step-by-step solution:

1. We know that Adam is twice as old as Ben.

2. Ben is 10 years old.

3. Therefore, Adam's age is 2 * Ben's age = 2 * 10 = 20 years.

Hence, Adam is 20 years old.",Age Problems (Basic),Easy,7
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: The truck will travel 300 miles in 5 hours.

Here's how you can derive it:

1. We know that the truck travels at a speed of 60 miles per hour.
2. To find out how far it travels in 5 hours, we need to multiply its speed by the time it travels.
3. So, the distance traveled is (60 miles/hour) * (5 hours) = 300 miles.

Therefore, the truck will travel 300 miles in 5 hours.",Distance-Rate-Time,Easy,4
33,John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?,John has 80 marbles and Anna has 40 marbles,"Let Anna's marbles = x
John's marbles = 2x
x + 2x = 120
3x = 120
x = 40
John = 80, Anna = 40","Solve the following math problem: John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?
Answer:

Let:
- $x$ be the number of marbles Anna has,
- $y$ be the number of marbles John has.

From the problem statement, we can set up the following system of equations:
1. $x + y = 120$ (Total number of marbles)
2. $y = 2x$ (John has twice as many marbles as Anna)

Substituting the second equation into the first, we get:
\[ x + 2x = 120 \]
\[ 3x = 120 \]
\[ x = 40 \]

Then, substitute $x = 40$",Equations with Two Variables,Medium,9
34,"A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?",3 liters of alcohol,Amount of alcohol = 25% of 12 liters = 0.25 * 12 = 3 liters,"Solve the following math problem: A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?
Answer:
The amount of alcohol in the solution is calculated by multiplying the total volume of the solution by the percentage of alcohol in decimal form.

So, the calculation is:
12 liters * 25% = 12 liters * 0.25 = 3 liters

Therefore, there are 3 liters of alcohol in the solution.",Mixture Problems,Medium,9
35,Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?,13.33 hours,"Rate of Worker A = 1/8 jobs/hour
Let Worker B's rate = 1/x jobs/hour
Total rate = 1/5 jobs/hour
1/8 + 1/x = 1/5
Solve for x = 13.33 hours","Solve the following math problem: Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?
Answer:
Worker B can complete the task alone in 10 hours.

Here's the step-by-step logic:
1. Let A be the time it takes for Worker A to complete the task alone, and B be the time it takes for Worker B to complete the task alone.
2. We know that A = 8 hours and that A + B = 5 hours (since they can complete the task in 5 hours when working together).
3. Solving for B, we get B = 5 - A = 5 - 8 = -3 hours.
4. However, this result doesn't make sense in this context because a negative time doesn't exist.",Work Problems,Medium,3
36,"In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?",8 years old,"Let Mike's current age = x
In 6 years, Mike's age = x + 6
2 years ago, Mike's age = x - 2
x + 6 = 2(x - 2)
x + 6 = 2x - 4
x = 8","Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer:
Let's call Mike's current age M. 

According to the question, in 6 years, Mike will be M + 6 years old. 

Two years ago, Mike was M - 2 years old. 

The question states that in 6 years, Mike will be twice as old as he was 2 years ago. So we can write the equation:

M + 6 = 2 * (M - 2)

Now we solve for M:

M + 6 = 2M - 4
6 + 4 = 2M - M
10 = M

So, Mike is $\boxed{10",Age Problems (Complex),Medium,4
37,"Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?","$1,622.40","A = P(1 + r/n)^(nt)
A = 1500(1 + 0.04/1)^(1*2)
A = 1500(1.04)^2 = 1500 * 1.0816 = $1,622.40","Solve the following math problem: Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?
Answer:
Henry will have $1,596.00 after 2 years.

Step-by-step solution:

1. The formula for compound interest is A = P(1 + r/n)^(nt), where:
- A is the amount of money accumulated after n years, including interest.
- P is the principal amount (the initial amount of money).
- r is the annual interest rate (in decimal form, so 4% becomes 0.04).
- n is the number of times that interest is compounded per year.
- t is the time the money is invested for in years.

2. In this case, P = $1",Investment Problems,Medium,2
38,"A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?",10 meters by 15 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 50
Area = l * w = 150
Solve system of equations: l + w = 25, lw = 150","Solve the following math problem: A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?
Answer:
The dimensions of the room are 15 meters by 10 meters.

Here's how to solve it:

1. Let's denote the length of the room as L and the width as W.
2. We know that the perimeter of a rectangle is given by the formula P = 2L + 2W. In our case, P = 50 meters.
3. We also know that the area of a rectangle is given by the formula A = LW. In our case, A = 150 square meters.
4. From the perimeter equation, we can express one variable in terms of the other: W = (50 - 2L",Quadratic Equations,Hard,6
39,"A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?",35 Chair A and 25 Chair B,"Let number of Chair A = x, number of Chair B = y
x + y = 60
30x + 50y = 2100
Solve system of equations","Solve the following math problem: A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
Answer: There were 20 chairs of type A and 40 chairs of type B sold.",Systems of Equations,Hard,14
40,"The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?",40 boys and 50 girls,"Let boys = 4x and girls = 5x
Total students = 4x + 5x = 90
9x = 90
x = 10
Boys = 4 * 10 = 40, Girls = 5 * 10 = 50","Solve the following math problem: The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?
Answer:
Let's denote the number of boys as B and the number of girls as G. According to the given ratio, we can write the following equation:

B/G = 4/5

We also know that the total number of students is 90, so we can write another equation:

B + G = 90

Now, we can solve these two equations simultaneously. First, let's express B in terms of G from the ratio equation:

B = (4/5)G

Next, substitute this expression into the total students equation:

(4/5)G + G = 90

To solve for G, we first need to",Ratio and Proportion Problems,Hard,5
41,"Machine X can complete a task in 9 hours, and Machine Y can complete it in 12 hours. After working together for 4 hours, Machine X breaks down. How long will Machine Y take to finish the task?",5.33 hours,"Rate of Machine X = 1/9 job/hour, Rate of Machine Y = 1/12 job/hour
Together for 4 hours: (1/9 + 1/12) * 4 = 7/18 job completed
Remaining job = 1 - 7/18 = 11/18
Time for Machine Y to finish = (11/18) / (1/12) = 7.33 hours","Solve the following math problem: Machine X can complete a task in 9 hours, and Machine Y can complete it in 12 hours. After working together for 4 hours, Machine X breaks down. How long will Machine Y take to finish the task?
Answer: \boxed{12}
Explanation: Since Machine X can complete the task in 9 hours and Machine Y in 12 hours, their combined work rate is $\frac{1}{9} + \frac{1}{12} = \frac{1}{6}$.

In 4 hours, they complete $\frac{4}{6} = \frac{2}{3}$ of the task together.

Therefore, Machine Y needs $12 \times \frac{1}{3} = 4$ hours to finish the remaining $\frac{1}{3}$ of the task.

So, the answer is: \boxed{4}.",Work Problems (Complex),Hard,2
42,"A shopkeeper sells an item for $150, making a 10% profit. What was the cost price of the item?",$136.36,"Selling price = Cost price * (1 + Profit %)
150 = Cost price * 1.1
Cost price = 150 / 1.1 = $136.36","Solve the following math problem: A shopkeeper sells an item for $150, making a 10% profit. What was the cost price of the item?
Answer:
To find the cost price of the item, we can set up the equation:

Cost Price + (10% of Cost Price) = Selling Price
Cost Price + (0.10 * Cost Price) = $150

Combining the terms, we get:

1.10 * Cost Price = $150

Dividing both sides by 1.10, we find:

Cost Price = $150 / 1.10

Cost Price = $136.36

Therefore, the cost price of the item was $136.36.",Profit and Loss,Hard,3
43,Mike starts with 10 pencils. He gives away 2 pencils each day. How many pencils will he have after 5 days?,0 pencils,"Day 1: 10 - 2 = 8 pencils
Day 2: 8 - 2 = 6 pencils
Day 3: 6 - 2 = 4 pencils
Day 4: 4 - 2 = 2 pencils
Day 5: 2 - 2 = 0 pencils","Solve the following math problem: Mike starts with 10 pencils. He gives away 2 pencils each day. How many pencils will he have after 5 days?
Answer:
Mike starts with 10 pencils. He gives away 2 pencils each day for 5 days.

To find out how many pencils he will have after 5 days, we need to calculate the total number of pencils he gives away in 5 days and subtract that from the initial number of pencils he has.

Total pencils given away in 5 days = 2 pencils/day × 5 days = 10 pencils

Now, subtract the total pencils given away from the initial number of pencils Mike has:

Pencils remaining after 5 days = Initial pencils - Total",Simple Equations,Easy,3
44,A notebook costs $4.50. How much will 5 notebooks cost?,$22.50,5 notebooks * $4.50/notebook = $22.50,"Solve the following math problem: A notebook costs $4.50. How much will 5 notebooks cost?
Answer: \boxed{22.50}

Explanation:
1. We know that one notebook costs $4.50.
2. To find the cost of 5 notebooks, we multiply the cost of one notebook by the number of notebooks: $4.50 * 5 = $22.50.
3. Therefore, 5 notebooks will cost $22.50.",Basic Arithmetic,Easy,4
45,"Tom is 3 years younger than Jack. If Jack is 15, how old is Tom?",12 years old,Tom = Jack's age - 3 = 15 - 3 = 12,"Solve the following math problem: Tom is 3 years younger than Jack. If Jack is 15, how old is Tom?
Answer:
Tom is 12 years old.",Age Problems (Basic),Easy,17
46,A car travels at 50 miles per hour. How far does it travel in 4 hours?,200 miles,Distance = Speed * Time = 50 miles/hour * 4 hours = 200 miles,"Solve the following math problem: A car travels at 50 miles per hour. How far does it travel in 4 hours?
Answer: \boxed{200} miles.

QED",Distance-Rate-Time,Easy,10
