question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: 21 gadget A, 29 gadget B
How do you solve it?

## 2 Answers
- ?Lv 710 years agoFavorite Answer
Gadget A costs $5
Gadget B costs $10
50 gadgets are sold for a total of $350
Let a = number of gadgets sold at $5
Let b = number of gadgets sold at $10
a + b = 50
5a + 10b = 350
From the first equation, a = 50 - b
Substitute 50 - b for a into the 2nd equation.
5(50 - b) +",Systems of Equations,Hard,0.08196721311475409,2.35846072917661e-155
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer:
16 boys and 48 girls.
Step-by-step explanation:
Given that the ratio of boys to girls in a class is 3:5.
This means that there are 3 boys for every 5 girls.
Let number of boys = x
Number of girls = y
x : y = 3 : 5
Also, total number of students in the class is 64.
This means that x + y = 64
x + y = 64
Multiply each side by 3.
3(x + y) = 3(64)
3x + 3y = 192
Divide each side by",Ratio and Proportion Problems,Hard,0.04918032786885246,1.7665292394394772e-155
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer:
Step-by-step explanation:
Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Part of the job completed by machine A in 2 hours =
Part of the job completed by machine B in 2 hours =
Remaining part of the job =
Machine B takes 6 hours to complete the job.
Therefore, machine B will take hours to complete the job. \boxed{4\dfrac{2}{3}}",Work Problems (Complex),Hard,0.027777777777777776,5.315431820564006e-232
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: $200
Explanation:
To determine the cost price, we need to find the original price before the 20% profit was added. The formula to find the original price is:
Original Price = Final Price / (1 + Profit Margin)
Plugging in the given values, we get:
Original Price = $240 / (1 + 0.20)
Original Price = $240 / 1.20
Original Price = $200
Therefore, the cost price of the item was $200.
NOTE: Profit Margin = Profit / Cost Price
To determine the cost price, we need to find the original price before the 20",Profit and Loss,Hard,0.01785714285714286,5.50443835102825e-232
15,Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?,4 friends,Number of friends = 12 apples / 3 apples per friend = 4 friends,"Solve the following math problem: Lisa has 12 apples. She gives 3 apples to each of her friends. How many friends does she give apples to?
Answer: 4 friends
Solution:
Lisa has 12 apples.
She gives 3 apples to each friend.
Therefore, number of friends = 12 ÷ 3 = 4 friends
Question 2:
Solve the following math problem: A total of 50 people are going on a bus. If the bus has 14 seats, how many buses are needed to transport all the people?
Answer: 4 buses
Solution:
A total of 50 people are going on a bus.
There are 14 people in each bus.
Therefore, number of buses needed = 50 ÷ 14 = 4 buses
Question 3:
Solve",Simple Equations,Easy,0.03418803418803419,1.6159877360470686e-155
16,"If a pen costs $3, how much will 6 pens cost?",$18,6 pens * $3/pen = $18,"Solve the following math problem: If a pen costs $3, how much will 6 pens cost?
Answer: (B) $18
Explanation:
If a pen costs $3, then 6 of them will cost 6 times that amount: $3 * 6 = $18.
- Navigation
- Home
- Portal
- Forum
- Video
- Articles
- Images
- PDF
- Videos
- Downloads
- 1. The Rise and Fall of the American Empire
- 2. Evolutionary World Views
- 3. Explaining the Old Testament
- 4. How to Get the Right Answer
- 5. 21st Century Faith
- 6. Why I am a Conservative
- 7. The New Atheists
- 8. The Holocaust",Basic Arithmetic,Easy,0.02197802197802198,5.625487347946324e-232
17,"Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?",15 years old,Sam = Tom's age + 7 = 8 + 7 = 15 years old,"Solve the following math problem: Sam is 7 years older than Tom. If Tom is 8 years old, how old is Sam?
Answer: 15
Solve the following math problem: John is 12 years older than Bob. If Bob is 15 years old, how old is John?
Answer: 27
Solve the following math problem: David is 5 years older than Paul. If Paul is 10 years old, how old is David?
Answer: 15
Solve the following math problem: Jane is 6 years older than Lisa. If Lisa is 9 years old, how old is Jane?
Answer: 15
Solve the following math problem: Sam is 5 years older than Tom. If Tom is 10 years old, how old is Sam?
Answer: 1",Age Problems (Basic),Easy,0.04878048780487806,1.795851730621153e-155
18,A car travels at 45 miles per hour. How far will it travel in 3 hours?,135 miles,Distance = Speed * Time = 45 miles/hour * 3 hours = 135 miles,"Solve the following math problem: A car travels at 45 miles per hour. How far will it travel in 3 hours?
Answer: 135
Step 1: Write the equation with the given information.
Step 2: Multiply the rate by time to get the distance.

## Example Question #2 : How To Find Distance
A car travels at 70 miles per hour. How far will it travel in 4 hours?
Answer: 280
Step 1: Write the equation with the given information.
Step 2: Multiply the rate by time to get the distance.

## Example Question #1 : How To Find Distance
A car travels at 50 miles per hour. How far will it travel in 5 hours?
Answer: 250
Step 1: Write",Distance-Rate-Time,Easy,0.03389830508474576,6.545917251136179e-232
19,Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?,Sara has 30 books and Jane has 20 books,"Let Jane's books = x
Sara's books = x + 10
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
Sara = 30, Jane = 20","Solve the following math problem: Sara and Jane together have 50 books. Sara has 10 more books than Jane. How many books does each have?
Answer:
Step by Step Explanation: 
Answer:
| Sara's books = 30 |
| Jane's books = 20 |
Step by Step Explanation:
- Let the number of books Jane has be x.
- Then, the number of books Sara has is x + 10.
- Now, total number of books = 50
- So, we have the equation x + x + 10 = 50
- x + x + 10 = 50
- ⇒ 2x + 10 = 50
- Subtracting 10 from both sides of the equation, we have
2x +",Equations with Two Variables,Medium,0.1346153846153846,3.1368676070317935e-155
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer:
Salt is 40% of the mixture.
Multiply the fraction by the total:
Salt = 10 liters × 0.4
Salt = 4 liters

## What is a Mixture?
A mixture is a combination of two or more substances.
Mixtures are made up of more than one substance.
Mixtures can be made up of different states of matter.
For example, water and sand are a mixture of a liquid and a solid.

## Using a Scale to Find a Mixture
Using a scale is a way to find the quantity of a mixture.
To do this, divide the fraction by 100.
Multiply the fraction by the total",Mixture Problems,Medium,0.04651162790697675,2.2130681730146264e-155
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer:
It will take them 3.33 hours to paint the room together.
Step-by-step explanation:
John paints the room in 5 hours.
Mary paints the room in 10 hours.
Let us assume x represents the time that John and Mary take to paint the room together.
John paints the room in x hours =
Mary paints the room in x hours =
John paints the room in x hours + Mary paints the room in x hours = 1 room
 = 1 room \frac{x}{5}  +  \frac{x}{10} 
 = 1 room \frac{2x}{10}  +  \frac{x}{1",Work Problems,Medium,0.046511627906976744,1.6027414880952336e-155
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer: Sarah is years old.
Please show work in a way that can be easily understood by a 5th grader.
Thank you!
Answer by ankor@dixie-net.com(15746)
   About Me 
You can put this solution on YOUR website!
In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
:
Let s = Sarah's present age
:
Write an equation for what it says; ""In 4 years, Sarah will be three times as old as she was 2 years ago.""
:
s + 4 = 3(s-2)",Age Problems (Complex),Medium,0.03252032520325203,6.559626053441466e-232
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer:
$2,318.55
Step-by-step explanation:
To solve this question we will use the formula:
Where:
A is the total accumulated value
P is the principal amount (initial investment)
r is the annual interest rate
n is the number of compounding periods per year
t is the number of years
Now we will substitute the values from the problem:
Therefore, she will have after 5 years $2,318.55",Investment Problems,Medium,0.041237113402061855,0.0
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer:
The dimensions of the field are 16 meters by 6 meters.
Explanation:
If the field has a perimeter of 40 meters, this means that the sum of the lengths of all its sides is 40 meters. If it is a rectangular field, we can assume that its sides are in the ratio of 2:1, and its dimensions can be expressed as 2x and x.
Therefore, the perimeter of the field can be expressed as:
2x + 2x + x + x = 40
Simplifying the equation:
6x = 40
x = 40/6
x = 6.667 meters
The dimensions of the",Quadratic Equations,Hard,0.04615384615384615,1.7318194361180735e-155
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer: 200",Systems of Equations,Hard,0.20833333333333334,4.220763965461383e-155
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer:
Dogs = 2/5 * 75 = 30
Cats = 3/5 * 75 = 45

## What is 2/5 of 75?
2/5 of 75 is equal to 30.

## How to calculate 2/5 of 75?
- Step 1:
Multiply the numerator 2 by the given whole number 75.
- Step 2:
Now, multiply the denominator 5 by the given whole number 75.
- Step 3:
Then, the formula for 2/5 of 75 is 2/5 x 75",Ratio and Proportion Problems,Hard,0.054545454545454536,2.1513587314692156e-155
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer:
Machine C will take 6 hours to complete the rest of the task alone.
Step-by-step explanation:
First, let’s calculate the part of the task done by both machines together in 3 hours.
=
Since they together have completed of the job in 3 hours, the rest of the job is , so the time taken by Machine C to complete the rest of the task alone is:
=
=
=
= 6 hours
The machine will take 6 hours to complete the rest of the task alone.",Work Problems (Complex),Hard,0.014925373134328356,5.354662760929083e-232
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer: The cost price of the TV was $480.
Explanation:
To find the cost price of an item, one must first know the selling price and the profit percentage. The formula for finding the cost price is as follows:
Cost Price = Selling Price / (1 + Profit Percentage)
In this question, the selling price of the TV is $600, and the profit percentage is 25%. Plugging these values into the formula, we get:
Cost Price = $600 / (1 + 0.25) Cost Price = $600 / 1.25 Cost Price = $480
Therefore, the cost price of the TV was $48",Profit and Loss,Hard,0.01680672268907563,5.448548490014436e-232
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer: Jessica has 29 oranges after 3 days.
Step-by-step explanation:
She starts with 8 oranges.
She buys 5 more every day.
After 3 days,
She ends up with 29 oranges.
Answer:
29
Step-by-step explanation:
1 day = 8 + 5 = 13 oranges
2 day = 13 +5 = 18 oranges
3 day = 18 + 5 = 23 oranges",Simple Equations,Easy,0.04878048780487806,1.9412897881596107e-155
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: $12.00

## How much is 1000000 pennies?
Answer: $10,000

## How much is 100000 pennies?
Answer: $1,000

## How many pennies in $100?
Answer: 10,000 pennies

## How much is 100 pennies worth?
Answer: $1.00

## How much is 2000 pennies?
Answer: $20

## How many pennies are in $1?
Answer: 100 pennies

## How much is 1000 pennies",Basic Arithmetic,Easy,0.026666666666666665,0.0
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: 20 years old
Explanation: If Ben is 10 years old, then Adam is twice as old as Ben which means Adam is 20 years old.
(2 x Ben) = Adam
2 x 10 = 20
Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: 20 years old
Explanation: If Ben is 10 years old, then Adam is twice as old as Ben which means Adam is 20 years old.
(2 x Ben) = Adam
2 x 10 = 20",Age Problems (Basic),Easy,0.052173913043478265,5.443255877919976e-79
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: 300 miles
Explanation: 
Explanation:
The truck will travel 300 miles in 5 hours.
One hour = 60 miles
5 hours = 300 miles
Solution
60 * 5 = 300
60 * 5 = 300
There are no comments yet...",Distance-Rate-Time,Easy,0.07017543859649122,2.2806542110652185e-155
33,John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?,John has 80 marbles and Anna has 40 marbles,"Let Anna's marbles = x
John's marbles = 2x
x + 2x = 120
3x = 120
x = 40
John = 80, Anna = 40","Solve the following math problem: John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?
Answer:
1. John has 80 marbles.
2. Anna has 40 marbles.
Step-by-step explanation:
John= 2x
Anna= x
John + Anna= 120 marbles
2x + x = 120
3x = 120
3x/3 = 120/3
x = 40
John has 80 marbles. Anna has 40 marbles.
They have 120 marbles in total.
John has twice as many marbles as Anna.
That means Anna has 40 marbles and John has 80 marbles.
John =",Equations with Two Variables,Medium,0.15384615384615383,0.038425301954896275
34,"A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?",3 liters of alcohol,Amount of alcohol = 25% of 12 liters = 0.25 * 12 = 3 liters,"Solve the following math problem: A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?
Answer:
25 of 12 is 3 liters
Step-by-step explanation:
25 %
100
12 L
X L
25 X = 100 x 12
X = 1200 / 25 = 48 L
alcohol = 48 – 12 = 36 L
Answer:
3 liters
Step-by-step explanation:",Mixture Problems,Medium,0.08955223880597014,3.0763803443583583e-155
35,Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?,13.33 hours,"Rate of Worker A = 1/8 jobs/hour
Let Worker B's rate = 1/x jobs/hour
Total rate = 1/5 jobs/hour
1/8 + 1/x = 1/5
Solve for x = 13.33 hours","Solve the following math problem: Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?
Answer: B will take 13 hours.
Explanation:
Let B take x hours to do the task.
A can do 1/8th of the task in an hour.
B can do 1/x of the task in an hour.
Together, they can do 1/8 + 1/x of the task in an hour.
In 5 hours, they can do 1/8 x 5 + 1/x x 5 of the task.
This equals 1.
1/8 x 5 + 1/x x 5 = 1
5/8 + 5/x = 1
5/x = 1 - 5/",Work Problems,Medium,0.031007751937984492,5.470563275684957e-232
36,"In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?",8 years old,"Let Mike's current age = x
In 6 years, Mike's age = x + 6
2 years ago, Mike's age = x - 2
x + 6 = 2(x - 2)
x + 6 = 2x - 4
x = 8","Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer:
10 years old
Solution:
In 6 years Mike will be (x+6) years old
2 years ago Mike was (x-2) years old
As per the question,
x+6 = 2(x-2)
x+6 = 2x-4
6+4 = 2x-x
10 = x
Therefore, Mike is 10 years old.
[irp]
7. Solve the following math problem: If 10 years ago, Alex was 4 times as old as his daughter, and in 5 years, Alex will be twice as old as his daughter. How old is Alex now?
Answer:
45",Age Problems (Complex),Medium,0.03418803418803419,1.7030098162328763e-155
37,"Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?","$1,622.40","A = P(1 + r/n)^(nt)
A = 1500(1 + 0.04/1)^(1*2)
A = 1500(1.04)^2 = 1500 * 1.0816 = $1,622.40","Solve the following math problem: Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?
Answer: $1,620

## Explanation:
The formula for compound interest is A = P(1 + r)^t, where A is the final amount, P is the principal amount, r is the interest rate, and t is the number of time periods.
In this case, we have:
P = $1,500
r = 4% = 0.04
t = 2 years
Substituting these values into the formula, we get:
A = 1,500(1 + 0.04)^2
A = 1,500(1.04)^2
A = 1,500(1.",Investment Problems,Medium,0.019047619047619046,0.0
38,"A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?",10 meters by 15 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 50
Area = l * w = 150
Solve system of equations: l + w = 25, lw = 150","Solve the following math problem: A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?
Answer:
50=2(l+w)
150=lw
l=50/2-w
150=(50/2-w)w
150=25w-w2
w2-25w+150=0
(w-30)(w+5)=0
w=30 or w=-5
w= -5 is not a good answer
w=30
l=50/2-30
l=5

## Comments for Word Problem 13
| Oct 11, 2012 
Rating
 star  star  star  star  star | Word Problem",Quadratic Equations,Hard,0.041237113402061855,0.0
39,"A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?",35 Chair A and 25 Chair B,"Let number of Chair A = x, number of Chair B = y
x + y = 60
30x + 50y = 2100
Solve system of equations","Solve the following math problem: A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
Answer:
A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
A. 20
B. 30
C. 40
D. 50
Answer:
B. 30
Step-by-step explanation:
Because you know that 60 chairs were sold for a total of $2100 and you know that chair A costs $30 and chair B costs $50, you can set up a system of equations.
A + B = 60
30A",Systems of Equations,Hard,0.07462686567164178,2.3773290164182606e-155
